Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,10,8356.023,-16.538,93,57,-1.82
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,11,8545.534,-14.645,85,47,-1.53
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,12,8578.825,-14.313,69,42,-1.43
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,13,8539.704,-14.603,62,38,-1.49
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,14,8145.506,-18.545,48,34,-2.02
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,15,8379.822,-16.202,41,34,-1.76
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,16,8425.958,-15.74,35,29,-1.65
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,17,8569.072,-14.309,34,26,-1.42
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,18,8418.94,-15.811,29,24,-1.65
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,19,8386.251,-16.137,25,24,-1.66
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,20,8288.236,-17.118,22,21,-1.77
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,21,8197.252,-18.027,18,21,-1.89
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,22,8360.617,-16.394,19,19,-1.65
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,23,8370.121,-16.299,19,17,-1.7
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,24,8640.101,-13.599,19,14,-1.43
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,25,8910.759,-10.892,20,13,-1.12
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,26,8560.498,-14.395,16,12,-1.56
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,27,8462.67,-15.373,14,12,-1.73
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,28,8264.911,-17.351,12,11,-2.01
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,29,8356.235,-16.438,11,11,-1.89
ETHUSDT,1h,2018-03-01,2020-11-15,RSI,30,8347.4,-16.526,10,11,-1.99
