pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,10,13216.02499380596,32.16024993805961
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,11,13366.303408325264,33.66303408325264
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,12,13547.242448058989,35.472424480589886
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,13,13745.85420770759,37.458542077075904
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,14,13343.044481431343,33.43044481431343
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,15,13336.3301756131,33.363301756131
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,16,13620.32900880923,36.20329008809231
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,17,13165.747010763975,31.657470107639746
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,18,13083.023479809457,30.83023479809457
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,19,12919.145315997906,29.191453159979062
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,20,12740.924625552505,27.409246255525048
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,21,12707.725254030305,27.077252540303054
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,22,12679.192805253053,26.79192805253053
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,23,12690.024672252996,26.900246722529953
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,24,13031.359985417426,30.31359985417426
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,25,13604.80288378098,36.048028837809795
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,26,14021.844390228944,40.21844390228944
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,27,14050.618819669353,40.50618819669353
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,28,14471.30361555424,44.7130361555424
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,29,14672.107056178544,46.72107056178544
BTCUSDT,6h,2017-01-01,2020-12-31,SMA,30,14517.591500657745,45.17591500657745
