pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,10,8460.691641930656,-15.393083580693437
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,11,8531.826503363454,-14.681734966365456
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,12,8561.090626212655,-14.389093737873445
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,13,8684.464284312495,-13.155357156875052
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,14,9089.125945350583,-9.108740546494174
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,15,9375.028606291826,-6.249713937081742
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,16,9348.151436581826,-6.518485634181744
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,17,9321.978396618804,-6.780216033811957
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,18,9840.174221989406,-1.5982577801059414
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,19,10129.72157314729,1.2972157314728976
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,20,10447.314734449172,4.473147344491717
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,21,10830.764898446678,8.307648984466777
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,22,10851.216655580407,8.51216655580407
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,23,10824.60233824759,8.246023382475904
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,24,11073.973084314901,10.739730843149008
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,25,11091.568782790331,10.915687827903312
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,26,11459.173939954064,14.591739399540637
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,27,11304.806724807046,13.048067248070454
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,28,11423.668493584062,14.236684935840621
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,29,11033.763038320314,10.337630383203141
BTCUSDT,1h,2017-01-01,2020-12-31,SMA,30,11023.451884494247,10.234518844942468
