data processed,parameter,portofolio final value,%
ETHUSDT-2017-2020-1w,10,12640.499714404674,26.40499714404674
ETHUSDT-2017-2020-1w,11,12454.37793026288,24.54377930262881
ETHUSDT-2017-2020-1w,12,12614.035894711958,26.140358947119584
ETHUSDT-2017-2020-1w,13,12975.150772809488,29.75150772809488
ETHUSDT-2017-2020-1w,14,12438.562213650914,24.385622136509134
ETHUSDT-2017-2020-1w,15,12745.023417924098,27.45023417924098
ETHUSDT-2017-2020-1w,16,13504.569246683792,35.04569246683792
ETHUSDT-2017-2020-1w,17,12554.063571519117,25.54063571519117
ETHUSDT-2017-2020-1w,18,12841.226040020289,28.41226040020289
ETHUSDT-2017-2020-1w,19,12701.356127174517,27.013561271745168
ETHUSDT-2017-2020-1w,20,12193.031819453578,21.930318194535776
ETHUSDT-2017-2020-1w,21,11954.137636178322,19.54137636178322
ETHUSDT-2017-2020-1w,22,11879.586072906735,18.795860729067353
ETHUSDT-2017-2020-1w,23,11775.903854166763,17.759038541667632
ETHUSDT-2017-2020-1w,24,11958.016149243664,19.580161492436638
ETHUSDT-2017-2020-1w,25,11671.18831630005,16.711883163000493
ETHUSDT-2017-2020-1w,26,11719.392422815421,17.193924228154213
ETHUSDT-2017-2020-1w,27,11778.805508662961,17.788055086629612
ETHUSDT-2017-2020-1w,28,11280.574884193293,12.805748841932926
ETHUSDT-2017-2020-1w,29,11427.287386191427,14.272873861914267
ETHUSDT-2017-2020-1w,30,11675.044629507469,16.75044629507469
