pair,timeframe,start,end,strategy,period,portofolio final value,%
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,10,9127.730970200415,-8.72269029799585
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,11,9602.171036826432,-3.978289631735679
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,12,9654.70564443138,-3.452943555686197
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,13,9901.313641485975,-0.9868635851402541
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,14,10060.620737834814,0.6062073783481355
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,15,10241.90096279481,2.4190096279481077
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,16,10396.892747038262,3.968927470382623
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,17,9918.194633825182,-0.8180536617481813
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,18,9896.479286977223,-1.0352071302277728
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,19,10092.505865591183,0.9250586559118347
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,20,9965.918492625206,-0.34081507374794456
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,21,10017.815617652901,0.17815617652900984
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,22,9907.560388294789,-0.9243961170521107
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,23,10243.259415108225,2.4325941510822484
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,24,9748.499650540021,-2.515003494599787
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,25,10000.18662275914,0.0018662275913993653
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,26,10167.857987336336,1.67857987336336
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,27,10110.39097433008,1.1039097433007918
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,28,10356.610372056208,3.5661037205620776
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,29,10917.770683414063,9.177706834140627
BTCUSDT,4h,2017-01-01,2020-12-31,RSI,30,10693.019021701895,6.930190217018953
