Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,10,6241.889,-37.644,1354,4504,-4.66
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,11,6174.488,-38.328,1255,4312,-4.84
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,12,6119.817,-38.863,1174,4133,-4.82
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,13,6373.197,-36.332,1099,4047,-4.37
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,14,6675.028,-33.317,1043,3910,-3.92
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,15,6862.518,-31.456,985,3749,-3.71
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,16,7009.807,-29.985,926,3637,-3.46
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,17,7398.597,-26.102,879,3490,-2.92
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,18,7431.256,-25.775,835,3416,-2.88
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,19,7455.197,-25.536,807,3340,-2.84
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,20,7765.618,-22.436,773,3278,-2.43
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,21,7751.797,-22.574,736,3183,-2.44
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,22,7991.39,-20.217,716,3087,-2.14
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,23,8122.098,-18.912,692,3004,-2.01
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,24,8123.822,-18.895,671,2951,-2.0
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,25,8288.952,-17.268,655,2877,-1.78
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,26,8460.034,-15.56,629,2851,-1.57
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,27,8663.592,-13.528,620,2759,-1.35
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,28,8949.893,-10.659,605,2683,-1.06
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,29,8964.072,-10.517,591,2654,-1.04
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,30,9088.858,-9.272,587,2588,-0.92
