pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,10,9793.61856759028,-2.0638143240972022
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,11,9588.415524175502,-4.115844758244984
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,12,9767.078756585961,-2.329212434140391
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,13,9126.213965779129,-8.737860342208714
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,14,8606.67773127164,-13.933222687283598
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,15,8992.979106698182,-10.070208933018185
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,16,9089.852858007758,-9.101471419922417
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,17,9312.863751911122,-6.871362480888783
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,18,8838.425739126622,-11.61574260873378
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,19,9124.22576031081,-8.7577423968919
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,20,8943.28198288717,-10.567180171128292
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,21,8768.042438845705,-12.31957561154295
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,22,8860.756563100203,-11.392434368997966
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,23,8692.15097433641,-13.078490256635906
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,24,8947.386919437582,-10.526130805624181
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,25,9281.773455853023,-7.182265441469772
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,26,8918.570704769561,-10.814292952304386
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,27,8881.05026813213,-11.189497318678695
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,28,8979.173146884526,-10.208268531154737
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,29,9177.481422108971,-8.22518577891029
ETHUSDT,1h,2017-01-01,2020-12-31,RSI,30,9333.45293979243,-6.665470602075693
