Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,10,10342.14,3.421,19,10,0.4
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,11,10494.826,4.948,17,10,0.59
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,12,10146.228,1.462,12,9,0.17
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,13,10307.479,3.075,12,7,0.37
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,14,10804.173,8.042,10,6,0.89
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,15,10057.25,0.572,7,6,0.08
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,16,9825.226,-1.748,4,6,-0.26
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,17,10172.308,1.723,4,5,0.24
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,18,10182.771,1.828,3,5,0.28
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,19,10253.397,2.534,5,3,0.36
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,20,10396.046,3.96,6,2,0.56
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,21,10239.116,2.391,5,2,0.44
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,22,10375.642,3.756,5,2,0.63
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,23,10440.914,4.409,5,2,0.75
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,24,10327.046,3.27,4,2,0.56
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,25,10387.915,3.879,3,2,0.56
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,26,9930.467,-0.695,2,2,-0.16
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,27,9930.467,-0.695,2,2,-0.16
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,28,10537.611,5.376,3,1,0.94
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,29,10537.611,5.376,3,1,0.94
BTCUSDT,8h,2017-01-01,2020-12-31,RSI,30,10279.882,2.799,2,1,0.51
