pair,timeframe,start,end,strategy,period,portofolio final value,%
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,10,8491.685129331623,-15.083148706683769
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,11,8626.824288442034,-13.731757115579658
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,12,8712.792429624293,-12.872075703757071
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,13,8607.159141276594,-13.928408587234061
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,14,8541.111406977505,-14.58888593022495
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,15,8512.952475966602,-14.870475240333981
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,16,8257.608406111876,-17.423915938881237
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,17,7976.061696668904,-20.239383033310958
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,18,8029.838084520005,-19.701619154799946
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,19,8067.9364285237325,-19.320635714762673
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,20,8005.417567498983,-19.94582432501017
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,21,8051.409906200545,-19.485900937994547
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,22,8218.45387625903,-17.815461237409707
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,23,8411.094747517647,-15.889052524823526
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,24,8334.643177617168,-16.653568223828316
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,25,8101.460458205221,-18.985395417947792
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,26,8161.707061670896,-18.38292938329104
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,27,8325.157313340733,-16.748426866592673
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,28,8314.519747175302,-16.85480252824698
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,29,8334.445772200423,-16.655542277995774
ETHUSDT,2h,2018-03-01,2020-11-15,RSI,30,8701.484653560023,-12.985153464399774
