Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,10,10778.253,7.686,351,986,0.69
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,11,10860.424,8.506,323,965,0.74
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,12,11354.266,13.44,287,922,1.15
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,13,11743.282,17.327,272,876,1.47
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,14,11641.77,16.313,249,844,1.44
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,15,11430.793,14.223,238,822,1.27
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,16,11219.578,12.112,230,788,1.09
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,17,10986.967,9.788,226,777,0.89
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,18,10866.271,8.582,213,780,0.78
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,19,11062.369,10.541,199,754,0.95
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,20,11280.335,12.719,198,717,1.1
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,21,11273.406,12.65,184,687,1.1
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,22,11165.808,11.575,178,667,1.02
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,23,11435.701,14.272,177,647,1.25
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,24,11626.464,16.178,179,625,1.43
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,25,11778.247,17.695,178,604,1.56
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,26,11788.638,17.799,169,590,1.51
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,27,11986.886,19.78,163,570,1.67
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,28,11953.304,19.444,161,556,1.63
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,29,12307.348,22.982,155,546,1.81
BTCUSDT,2h,2017-01-01,2020-12-31,SMA,30,12358.895,23.497,157,536,1.84
