data processed,parameter,portofolio final value,%
ETHUSDT-2017-2020-6h,10,14330.644106213738,43.30644106213739
ETHUSDT-2017-2020-6h,11,14874.364353114908,48.74364353114908
ETHUSDT-2017-2020-6h,12,14564.123901865245,45.64123901865245
ETHUSDT-2017-2020-6h,13,14179.32168867284,41.79321688672841
ETHUSDT-2017-2020-6h,14,13659.497481566574,36.594974815665736
ETHUSDT-2017-2020-6h,15,13699.917024250217,36.99917024250217
ETHUSDT-2017-2020-6h,16,13391.764601766217,33.91764601766217
ETHUSDT-2017-2020-6h,17,13201.847954313556,32.01847954313556
ETHUSDT-2017-2020-6h,18,13339.765002647759,33.397650026477585
ETHUSDT-2017-2020-6h,19,13466.030063182166,34.66030063182167
ETHUSDT-2017-2020-6h,20,13629.069288367858,36.29069288367858
ETHUSDT-2017-2020-6h,21,14034.905489443034,40.34905489443034
ETHUSDT-2017-2020-6h,22,13873.07591724414,38.730759172441395
ETHUSDT-2017-2020-6h,23,13471.55748280027,34.7155748280027
ETHUSDT-2017-2020-6h,24,13260.864912203997,32.60864912203997
ETHUSDT-2017-2020-6h,25,13004.831321754278,30.048313217542784
ETHUSDT-2017-2020-6h,26,13194.316762088576,31.94316762088576
ETHUSDT-2017-2020-6h,27,13024.668428600333,30.24668428600333
ETHUSDT-2017-2020-6h,28,12898.282168108053,28.982821681080534
ETHUSDT-2017-2020-6h,29,12746.994575728531,27.469945757285313
ETHUSDT-2017-2020-6h,30,12838.454467533726,28.38454467533726
