Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,10,9809.753,-1.902,58,39,-0.22
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,11,9670.445,-3.296,48,34,-0.4
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,12,9443.333,-5.567,44,27,-0.67
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,13,9603.178,-3.968,40,22,-0.46
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,14,9815.914,-1.841,35,22,-0.2
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,15,10169.909,1.699,31,19,0.2
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,16,9758.48,-2.415,26,15,-0.28
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,17,10262.949,2.629,25,14,0.28
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,18,9793.677,-2.063,20,13,-0.23
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,19,9852.563,-1.474,19,13,-0.16
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,20,9968.506,-0.315,18,12,-0.04
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,21,9628.908,-3.711,13,12,-0.46
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,22,9814.038,-1.86,15,10,-0.23
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,23,9715.158,-2.848,12,9,-0.36
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,24,10033.95,0.339,14,7,0.04
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,25,10561.557,5.616,14,7,0.62
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,26,10932.513,9.325,13,7,0.88
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,27,11203.198,12.032,12,7,1.02
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,28,11717.074,17.171,12,7,1.29
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,29,10595.336,5.953,6,7,0.56
BTCUSDT,2h,2017-01-01,2020-12-31,RSI,30,10737.79,7.378,6,6,0.72
