Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,10,11321.364,8.126,25,53,0.98
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,11,11534.782,10.164,22,49,1.18
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,12,11534.596,10.163,22,47,1.18
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,13,11736.865,12.094,20,46,1.32
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,14,11719.425,11.928,20,45,1.31
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,15,11551.389,9.948,18,45,1.15
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,16,11746.371,11.804,17,44,1.39
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,17,11777.002,12.095,19,39,1.4
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,18,11665.132,11.03,17,36,1.27
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,19,11795.419,12.654,15,37,1.07
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,20,11810.366,12.796,15,40,1.03
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,21,12068.907,15.266,14,38,1.23
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,22,12198.043,16.499,13,37,1.28
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,23,12031.119,14.905,13,35,1.26
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,24,12039.52,14.985,12,38,1.25
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,25,11793.96,12.64,11,35,1.1
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,26,11703.822,11.779,9,36,1.04
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,27,11710.292,11.841,9,37,1.05
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,28,11652.369,11.287,9,30,1.01
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,29,11783.636,12.158,9,28,1.08
BTCUSDT,1d,2018-03-01,2020-11-15,SMA,30,11865.547,12.938,10,30,1.15
