Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,10,9951.671,-0.483,292,811,-0.05
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,11,10163.228,1.632,267,765,0.18
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,12,9935.17,-0.648,243,729,-0.07
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,13,10670.446,6.704,233,667,0.71
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,14,10132.54,1.325,202,677,0.14
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,15,10362.8,3.628,193,634,0.38
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,16,10259.575,2.596,184,624,0.27
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,17,10147.58,1.476,174,622,0.15
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,18,10024.462,0.245,167,609,0.03
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,19,10279.159,2.792,159,587,0.28
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,20,10362.33,3.623,162,562,0.38
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,21,10514.231,5.142,159,542,0.53
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,22,10903.542,9.035,153,530,0.9
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,23,11169.983,11.7,150,506,1.13
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,24,11106.193,11.062,141,497,1.07
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,25,11506.1,15.061,141,477,1.44
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,26,11328.815,13.288,141,467,1.31
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,27,11625.992,16.26,133,450,1.56
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,28,11794.138,17.941,126,426,1.69
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,29,11835.467,18.355,117,425,1.75
ETHUSDT,2h,2018-03-01,2020-11-15,SMA,30,11760.877,17.609,115,413,1.69
