data processed,parameter,portofolio final value,%
BTCUSDT-2017-2020-3d,10,10889.423540648162,8.89423540648162
BTCUSDT-2017-2020-3d,11,11128.92602976274,11.289260297627408
BTCUSDT-2017-2020-3d,12,11317.328925225342,13.173289252253417
BTCUSDT-2017-2020-3d,13,11317.328925225342,13.173289252253417
BTCUSDT-2017-2020-3d,14,11407.0764946903,14.070764946903
BTCUSDT-2017-2020-3d,15,11407.0764946903,14.070764946903
BTCUSDT-2017-2020-3d,16,11496.368206140312,14.963682061403125
BTCUSDT-2017-2020-3d,17,11532.650895387076,15.326508953870762
BTCUSDT-2017-2020-3d,18,11946.914069228555,19.469140692285546
BTCUSDT-2017-2020-3d,19,10237.697845344526,2.376978453445263
BTCUSDT-2017-2020-3d,20,10521.053560639195,5.21053560639195
BTCUSDT-2017-2020-3d,21,10521.053560639195,5.21053560639195
BTCUSDT-2017-2020-3d,22,10798.017523980023,7.980175239800229
BTCUSDT-2017-2020-3d,23,10798.017523980023,7.980175239800229
BTCUSDT-2017-2020-3d,24,11015.534308229428,10.155343082294275
BTCUSDT-2017-2020-3d,25,11201.977389062558,12.019773890625583
BTCUSDT-2017-2020-3d,26,11201.977389062558,12.019773890625583
BTCUSDT-2017-2020-3d,27,10000.0,0.0
BTCUSDT-2017-2020-3d,28,10000.0,0.0
BTCUSDT-2017-2020-3d,29,10000.0,0.0
BTCUSDT-2017-2020-3d,30,10000.0,0.0
