Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,10,9811.143,-1.931,193,101,-0.28
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,11,9707.037,-2.971,160,85,-0.42
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,12,9488.381,-5.225,127,77,-0.75
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,13,9341.575,-6.691,108,66,-0.93
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,14,9370.189,-6.405,99,58,-0.86
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,15,9305.203,-6.948,86,51,-0.95
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,16,9262.143,-7.379,75,48,-1.01
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,17,9288.441,-7.116,69,45,-0.97
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,18,9075.221,-9.248,58,39,-1.21
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,19,9368.657,-6.313,51,36,-0.8
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,20,9374.079,-6.259,50,32,-0.8
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,21,9130.881,-8.691,46,31,-1.19
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,22,9119.084,-8.809,42,29,-1.23
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,23,9154.862,-8.451,39,24,-1.07
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,24,9350.539,-7.394,35,21,-0.93
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,25,9152.341,-9.357,32,20,-1.21
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,26,9008.076,-10.785,27,20,-1.45
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,27,9190.449,-8.096,28,17,-1.12
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,28,9174.275,-8.257,25,17,-1.14
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,29,9112.991,-8.87,20,18,-1.25
BTCUSDT,30m,2018-03-01,2020-11-15,RSI,30,9232.194,-7.678,20,18,-1.08
