BTCUSDT-2017-2020-4h,10,132331.7965119998,32.3317965119998
BTCUSDT-2017-2020-4h,11,129440.07118399991,29.440071183999912
BTCUSDT-2017-2020-4h,12,131704.1687519996,31.70416875199959
BTCUSDT-2017-2020-4h,13,134149.45519999976,34.149455199999764
BTCUSDT-2017-2020-4h,14,141676.7675359999,41.676767535999915
BTCUSDT-2017-2020-4h,15,140249.91027199992,40.24991027199992
BTCUSDT-2017-2020-4h,16,138725.41509599995,38.725415095999956
BTCUSDT-2017-2020-4h,17,144861.55015999993,44.86155015999992
BTCUSDT-2017-2020-4h,18,149948.46566399973,49.94846566399973
BTCUSDT-2017-2020-4h,19,141831.92525599975,41.83192525599975
BTCUSDT-2017-2020-4h,20,144851.05166399997,44.85105166399997
BTCUSDT-2017-2020-4h,21,146133.88094399997,46.133880943999976
BTCUSDT-2017-2020-4h,22,140720.18243200012,40.720182432000115
BTCUSDT-2017-2020-4h,23,141607.53229599993,41.60753229599993
BTCUSDT-2017-2020-4h,24,138342.79603199998,38.34279603199998
BTCUSDT-2017-2020-4h,25,141296.38908,41.29638908
BTCUSDT-2017-2020-4h,26,143724.33726399983,43.72433726399983
BTCUSDT-2017-2020-4h,27,141257.32533599983,41.25732533599983
BTCUSDT-2017-2020-4h,28,142171.1271279999,42.17112712799991
BTCUSDT-2017-2020-4h,29,141210.62027999994,41.210620279999944
BTCUSDT-2017-2020-4h,30,139210.23506399983,39.21023506399983
