Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,10,8286.521,-17.135,22,18,-1.89
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,11,8021.607,-19.784,16,14,-2.3
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,12,8081.454,-19.185,14,14,-2.2
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,13,8034.685,-19.653,10,14,-2.38
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,14,8064.732,-19.353,8,13,-2.32
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,15,8226.75,-17.733,9,11,-1.99
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,16,8267.61,-17.324,8,9,-2.04
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,17,8430.859,-15.691,8,8,-1.88
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,18,8522.538,-14.775,7,8,-1.77
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,19,8546.686,-14.533,6,8,-1.85
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,20,8402.234,-15.978,3,8,-2.17
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,21,8247.032,-17.53,1,8,-2.8
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,22,8394.184,-16.058,2,7,-2.57
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,23,8795.078,-12.049,3,6,-1.77
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,24,8902.939,-10.971,4,4,-1.41
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,25,8976.127,-10.239,4,4,-1.29
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,26,8980.18,-10.198,4,4,-1.29
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,27,8834.675,-11.653,3,4,-1.77
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,28,9035.438,-9.646,3,3,-1.29
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,29,9098.957,-9.01,3,3,-1.19
ETHUSDT,4h,2018-03-01,2020-11-15,RSI,30,9208.288,-7.917,3,3,-1.01
