Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,10,9334.714,-6.653,45,34,-0.92
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,11,9063.965,-9.36,36,30,-1.42
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,12,9076.905,-9.231,34,23,-1.32
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,13,9146.05,-8.54,30,21,-1.28
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,14,9377.386,-6.226,26,21,-0.85
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,15,9345.501,-6.545,23,18,-0.96
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,16,9052.071,-9.479,19,14,-1.37
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,17,9196.645,-8.034,18,13,-1.15
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,18,8917.933,-10.821,14,12,-1.63
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,19,9037.137,-9.629,14,12,-1.44
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,20,9227.005,-7.73,14,11,-1.15
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,21,9066.139,-9.339,10,11,-1.49
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,22,9152.028,-8.48,11,10,-1.36
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,23,9012.014,-9.88,8,9,-1.75
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,24,9181.317,-8.187,10,7,-1.41
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,25,9413.691,-5.863,10,7,-0.98
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,26,9427.994,-5.72,9,7,-1.0
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,27,9415.425,-5.846,8,7,-1.02
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,28,9527.223,-4.728,8,7,-0.83
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,29,9377.509,-6.225,4,7,-1.34
BTCUSDT,2h,2018-03-01,2020-11-15,RSI,30,9503.59,-4.964,4,6,-1.2
