1566979200.0,186.48000000,186.69000000,185.63000000,186.45000000,11304.92149000,1566986399999,2104878.28286630,7504,6129.64620000,1141291.11637850,0
1566986400.0,186.52000000,186.64000000,185.74000000,186.16000000,9278.16948000,1566993599999,1727384.91965500,6378,4669.16202000,869379.44169590,0
1566993600.0,186.21000000,188.25000000,186.03000000,186.71000000,19506.37381000,1567000799999,3652209.01055770,9470,10278.74989000,1924402.79577130,0
1567000800.0,186.70000000,187.85000000,186.55000000,187.14000000,12104.51510000,1567007999999,2264461.93208920,7912,6601.61468000,1235290.58170580,0
1567008000.0,187.14000000,187.19000000,184.45000000,184.90000000,15617.06968000,1567015199999,2907091.00852320,9469,6513.75954000,1213434.20029350,0
1567015200.0,184.84000000,184.87000000,166.48000000,171.35000000,181851.20124000,1567022399999,31524900.22426780,58479,83604.89228000,14480213.41560820,0
1567022400.0,171.32000000,173.31000000,170.20000000,173.23000000,16979.98276000,1567029599999,2915796.23723330,9265,9007.88155000,1547124.19219730,0
1567029600.0,173.26000000,174.16000000,172.49000000,173.03000000,16511.92955000,1567036799999,2864597.21137700,9577,8238.94425000,1428973.51997220,0
1567036800.0,173.03000000,173.50000000,170.94000000,171.72000000,19059.98582000,1567043999999,3285812.46582630,11724,9916.02709000,1709984.15564380,0
1567044000.0,171.71000000,172.33000000,168.67000000,169.33000000,33913.31171000,1567051199999,5769755.26384820,14560,15905.27023000,2706621.29020140,0
1567051200.0,169.35000000,171.04000000,169.01000000,170.35000000,14306.99288000,1567058399999,2436054.31197020,8881,7103.36121000,1209561.31968830,0
1567058400.0,170.31000000,170.34000000,166.14000000,168.05000000,40784.78318000,1567065599999,6862082.40067010,16809,19168.39146000,3225342.98432530,0
1567065600.0,168.05000000,170.34000000,168.04000000,169.79000000,22194.02379000,1567072799999,3753189.23253670,11012,11835.30108000,2000984.43774260,0
1567072800.0,169.77000000,169.86000000,168.50000000,168.89000000,16646.60217000,1567079999999,2815651.86229730,9835,8279.24890000,1400521.37602650,0
1567080000.0,168.86000000,169.11000000,167.44000000,168.43000000,19271.02611000,1567087199999,3243446.88400070,9975,9751.20131000,1641277.15109200,0
1567087200.0,168.37000000,168.52000000,163.61000000,168.15000000,56241.20768000,1567094399999,9376466.06506180,19119,28147.15846000,4694572.50142290,0
1567094400.0,168.15000000,169.30000000,166.51000000,168.96000000,28573.77781000,1567101599999,4798250.58769640,12586,14771.27996000,2480346.96355060,0
1567101600.0,168.95000000,171.87000000,167.81000000,169.31000000,26971.90386000,1567108799999,4573979.18761820,14095,14165.37466000,2402246.59159520,0
1567108800.0,169.30000000,169.88000000,168.81000000,169.39000000,9909.09970000,1567115999999,1679009.58242490,7730,5827.89475000,987506.85496320,0
1567116000.0,169.40000000,169.49000000,168.20000000,169.01000000,7368.50129000,1567123199999,1244399.32223770,6319,4074.33439000,688104.48663430,0
1567123200.0,169.03000000,170.32000000,165.75000000,167.54000000,26104.18005000,1567130399999,4373007.35826610,10998,12284.44403000,2058592.97919160,0
1567130400.0,167.53000000,168.56000000,167.16000000,168.15000000,12762.35104000,1567137599999,2140900.07499410,7003,7392.60301000,1240178.96310060,0
1567137600.0,168.12000000,168.63000000,167.75000000,168.29000000,14569.59816000,1567144799999,2450260.34171790,7080,8659.08512000,1456466.73344780,0
1567144800.0,168.32000000,168.81000000,167.33000000,167.54000000,14851.32113000,1567151999999,2496728.19457170,7751,7549.53737000,1269342.34405090,0
1567152000.0,167.54000000,170.77000000,166.79000000,169.88000000,31462.05671000,1567159199999,5308272.71501760,12798,16726.02237000,2823000.41923820,0
1567159200.0,169.84000000,170.52000000,169.05000000,169.73000000,20251.40169000,1567166399999,3439933.51442940,9857,10453.14104000,1775657.85881640,0
1567166400.0,169.76000000,170.08000000,168.77000000,169.84000000,23393.26231000,1567173599999,3966296.32929120,10040,10181.47399000,1725804.83580820,0
1567173600.0,169.80000000,169.96000000,168.74000000,169.30000000,19505.44298000,1567180799999,3304161.60925320,10046,9992.73129000,1693314.07280710,0
1567180800.0,169.30000000,169.60000000,167.65000000,167.73000000,14076.06366000,1567187999999,2371864.71370100,9137,6925.94134000,1167143.21932640,0
1567188000.0,167.81000000,169.04000000,165.55000000,168.80000000,29284.93164000,1567195199999,4901364.94745870,12125,14595.09889000,2443246.72571910,0
1567195200.0,168.83000000,170.00000000,168.25000000,168.37000000,20687.88246000,1567202399999,3497915.25291120,9602,10807.89265000,1827700.35343650,0
1567202400.0,168.35000000,169.49000000,167.59000000,168.50000000,11668.19685000,1567209599999,1966251.54787850,7879,6609.02850000,1113555.55878310,0
1567209600.0,168.48000000,169.49000000,168.06000000,169.11000000,16423.08545000,1567216799999,2773962.98236010,8049,8194.79736000,1384614.52221430,0
1567216800.0,169.05000000,169.70000000,168.78000000,169.06000000,13810.90012000,1567223999999,2338233.17846560,7808,7909.62068000,1339464.17785780,0
1567224000.0,169.06000000,169.23000000,168.70000000,168.98000000,11498.63570000,1567231199999,1943007.89146690,6894,5152.84744000,870871.88277700,0
1567231200.0,168.97000000,169.02000000,168.03000000,168.13000000,12466.02294000,1567238399999,2100659.55454130,7782,6081.18032000,1024676.26808370,0
1567238400.0,168.13000000,168.40000000,167.49000000,167.99000000,16239.31521000,1567245599999,2728517.62618830,8078,9681.97559000,1626813.58298330,0
1567245600.0,167.96000000,168.40000000,167.49000000,167.61000000,8768.41345000,1567252799999,1472552.54806980,6443,4526.78457000,760302.33526240,0
1567252800.0,167.58000000,169.18000000,167.44000000,168.34000000,18651.98920000,1567259999999,3136423.65066310,8888,10463.74806000,1759621.16826660,0
1567260000.0,168.34000000,168.49000000,167.55000000,168.19000000,14513.70674000,1567267199999,2438591.38836890,7325,7688.68828000,1291970.88384590,0
1567267200.0,168.16000000,169.19000000,167.93000000,168.62000000,11404.37562000,1567274399999,1921822.54092560,6324,6152.34950000,1036660.57158050,0
1567274400.0,168.64000000,168.67000000,166.20000000,167.54000000,13514.72235000,1567281599999,2261685.69050440,7537,7449.99854000,1246656.01008420,0
1567281600.0,167.59000000,173.91000000,165.63000000,173.91000000,33466.82701000,1567288799999,5674940.23707240,14925,18441.10446000,3129376.78216270,0
1567288800.0,173.71000000,174.98000000,171.51000000,171.57000000,24241.20204000,1567295999999,4193245.55463240,11372,12184.82690000,2107476.95619070,0
1567296000.0,171.52000000,173.42000000,171.36000000,172.71000000,13910.71100000,1567303199999,2402309.49533970,7063,9109.25988000,1573187.82434740,0
1567303200.0,172.67000000,172.97000000,172.02000000,172.57000000,5326.53542000,1567310399999,918642.26155680,5278,2778.86281000,479303.04547790,0
1567310400.0,172.50000000,172.74000000,172.01000000,172.14000000,6892.71563000,1567317599999,1187346.09899910,5830,3043.36928000,524390.61338400,0
1567317600.0,172.13000000,172.30000000,171.92000000,172.08000000,16126.63469000,1567324799999,2775859.38047930,5845,10030.74410000,1726697.39915630,0
1567324800.0,172.07000000,172.10000000,168.51000000,170.43000000,38744.20017000,1567331999999,6599316.64102700,13093,21616.92472000,3682976.08587480,0
1567332000.0,170.42000000,170.52000000,169.60000000,169.90000000,9375.38314000,1567339199999,1594604.89834990,6342,4352.26420000,740195.09513090,0
1567339200.0,169.86000000,169.90000000,168.11000000,168.88000000,9955.66566000,1567346399999,1684403.90764180,7234,4556.24666000,771157.17898070,0
1567346400.0,168.93000000,170.91000000,168.65000000,170.19000000,12332.82156000,1567353599999,2094236.13060380,7287,7066.71463000,1200098.60140460,0
1567353600.0,170.20000000,170.42000000,167.61000000,169.65000000,15484.51725000,1567360799999,2620192.28193160,9033,7527.84242000,1274745.13440100,0
1567360800.0,169.61000000,170.75000000,169.12000000,170.43000000,17784.13890000,1567367999999,3025502.96685800,8853,8645.03878000,1470839.42383230,0
1567368000.0,170.42000000,171.71000000,169.65000000,170.62000000,25855.94666000,1567375199999,4410532.88359130,8846,16474.18030000,2810471.40889080,0
1567375200.0,170.55000000,172.46000000,170.33000000,170.74000000,19351.25360000,1567382399999,3314433.98543480,8332,10164.11052000,1740693.14790710,0
1567382400.0,170.73000000,171.98000000,170.02000000,170.58000000,8892.26701000,1567389599999,1517929.40703040,6191,5045.00562000,861489.44481180,0
